"datetime";"CO2_LAMP";"CO2_MC";"CO2_PR";"CO2_CORSE";"CO2_HP";"pCO2_LAMP";"pCO2_MC";"pCO2_PR";"pCO2_CORSE";"pCO2_HP"
2006-10-01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-10-02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-10-03;380.949;NA;NA;NA;NA;369.254297602525;NA;NA;NA;NA
2006-10-04;383.161;NA;NA;NA;NA;371.398391710389;NA;NA;NA;NA
2006-10-05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-10-06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-10-07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-10-08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-10-09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-10-10;382.37;NA;NA;NA;NA;370.63167451359;NA;NA;NA;NA
2006-10-11;382.27;NA;NA;NA;NA;370.534744400214;NA;NA;NA;NA
2006-10-12;384.271;NA;NA;NA;NA;372.474315968857;NA;NA;NA;NA
2006-10-13;383.971;NA;NA;NA;NA;372.18352562873;NA;NA;NA;NA
2006-10-14;383.621;NA;NA;NA;NA;371.844270231916;NA;NA;NA;NA
2006-10-15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-10-16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-10-17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-10-18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-10-19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-10-20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-10-21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-10-22;384.362;NA;NA;NA;NA;372.562522372028;NA;NA;NA;NA
2006-10-23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-10-24;380.689;NA;NA;NA;NA;369.002279307749;NA;NA;NA;NA
2006-10-25;383.591;NA;NA;NA;NA;371.815191197904;NA;NA;NA;NA
2006-10-26;380.088;NA;NA;NA;NA;368.419729326363;NA;NA;NA;NA
2006-10-27;379.958;NA;NA;NA;NA;368.293720178975;NA;NA;NA;NA
2006-10-28;381.219;NA;NA;NA;NA;369.516008908639;NA;NA;NA;NA
2006-10-29;385.302;NA;NA;NA;NA;373.473665437757;NA;NA;NA;NA
2006-10-30;384.942;NA;NA;NA;NA;373.124717029606;NA;NA;NA;NA
2006-10-31;385.653;NA;NA;NA;NA;373.813890135705;NA;NA;NA;NA
2006-11-01;380.719;NA;NA;NA;NA;369.031358341762;NA;NA;NA;NA
2006-11-02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-11-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-11-04;381.91;NA;NA;NA;NA;370.185795992063;NA;NA;NA;NA
2006-11-05;381.98;NA;NA;NA;NA;370.253647071426;NA;NA;NA;NA
2006-11-06;378.307;NA;NA;NA;NA;366.693404007147;NA;NA;NA;NA
2006-11-07;381.049;NA;NA;NA;NA;369.351227715901;NA;NA;NA;NA
2006-11-08;381.93;NA;NA;NA;NA;370.205182014738;NA;NA;NA;NA
2006-11-09;381.97;NA;NA;NA;NA;370.243954060088;NA;NA;NA;NA
2006-11-10;382.58;NA;NA;NA;NA;370.835227751678;NA;NA;NA;NA
2006-11-11;383.03;NA;NA;NA;NA;371.271413261868;NA;NA;NA;NA
2006-11-12;381.009;NA;NA;NA;NA;369.31245567055;NA;NA;NA;NA
2006-11-13;383.151;NA;NA;NA;NA;371.388698699052;NA;NA;NA;NA
2006-11-14;383.281;NA;NA;NA;NA;371.51470784644;NA;NA;NA;NA
2006-11-15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-11-16;383.541;NA;NA;NA;NA;371.766726141216;NA;NA;NA;NA
2006-11-17;383.081;NA;NA;NA;NA;371.320847619689;NA;NA;NA;NA
2006-11-18;381.099;NA;NA;NA;NA;369.399692772588;NA;NA;NA;NA
2006-11-19;381.519;NA;NA;NA;NA;369.806799248765;NA;NA;NA;NA
2006-11-20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-11-21;381.369;NA;NA;NA;NA;369.661404078702;NA;NA;NA;NA
2006-11-22;380.288;NA;NA;NA;NA;368.613589553114;NA;NA;NA;NA
2006-11-23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-11-24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-11-25;383.221;NA;NA;NA;NA;371.456549778415;NA;NA;NA;NA
2006-11-26;382.88;NA;NA;NA;NA;371.126018091805;NA;NA;NA;NA
2006-11-27;384.802;NA;NA;NA;NA;372.98901487088;NA;NA;NA;NA
2006-11-28;384.021;NA;NA;NA;NA;372.231990685418;NA;NA;NA;NA
2006-11-29;383.631;NA;NA;NA;NA;371.853963243254;NA;NA;NA;NA
2006-11-30;385.723;NA;NA;NA;NA;373.881741215068;NA;NA;NA;NA
2006-12-01;385.783;NA;NA;NA;NA;373.939899283093;NA;NA;NA;NA
2006-12-02;386.523;NA;NA;NA;NA;374.657182122071;NA;NA;NA;NA
2006-12-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-12-04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-12-05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-12-06;384.442;NA;NA;NA;NA;372.640066462729;NA;NA;NA;NA
2006-12-07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-12-08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-12-09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-12-10;385.863;NA;NA;NA;NA;374.017443373793;NA;NA;NA;NA
2006-12-11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-12-12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-12-13;386.333;NA;NA;NA;NA;374.473014906658;NA;NA;NA;NA
2006-12-14;383.261;NA;NA;NA;NA;371.495321823765;NA;NA;NA;NA
2006-12-15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006-12-16;389.075;NA;NA;NA;NA;377.130838615412;NA;NA;NA;NA
2006-12-17;384.101;NA;NA;NA;NA;372.309534776118;NA;NA;NA;NA
2006-12-18;383.751;NA;NA;NA;NA;371.970279379304;NA;NA;NA;NA
2006-12-19;384.672;NA;NA;NA;NA;372.863005723492;NA;NA;NA;NA
2006-12-20;383.751;NA;NA;NA;NA;371.970279379304;NA;NA;NA;NA
2006-12-21;381.229;NA;NA;NA;NA;369.525701919976;NA;NA;NA;NA
2006-12-22;383.711;NA;NA;NA;NA;371.931507333954;NA;NA;NA;NA
